"No.","Time","Source","Destination","Protocol","Length","Info"
"60","0.304762","192.168.0.21","192.168.0.20","TCP","74","58230  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"61","0.304765","192.168.0.20","192.168.0.21","TCP","66","22  >  58202 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991753"
"62","0.304771","192.168.0.20","192.168.0.21","TCP","66","22  >  58212 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991753"
"63","0.304776","192.168.0.20","192.168.0.21","TCP","66","22  >  58214 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991753"
"64","0.304807","192.168.0.20","192.168.0.21","TCP","74","22  >  58218 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"65","0.304818","192.168.0.21","192.168.0.20","TCP","66","58218  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
"66","0.304829","192.168.0.20","192.168.0.21","TCP","74","22  >  58220 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"67","0.304831","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"68","0.304836","192.168.0.21","192.168.0.20","TCP","66","58220  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
"69","0.304838","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"70","0.304842","192.168.0.20","192.168.0.21","TCP","74","22  >  58224 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"71","0.304848","192.168.0.21","192.168.0.20","TCP","66","58224  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
"72","0.304854","192.168.0.20","192.168.0.21","TCP","74","22  >  58222 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"73","0.304861","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"74","0.304870","192.168.0.21","192.168.0.20","TCP","66","58222  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
"75","0.304873","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"76","0.304896","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"77","0.304900","192.168.0.21","192.168.0.20","TCP","74","58232  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"78","0.304911","192.168.0.21","192.168.0.20","TCP","74","58234  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"79","0.305000","192.168.0.20","192.168.0.21","TCP","74","22  >  58226 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"80","0.305011","192.168.0.21","192.168.0.20","TCP","66","58226  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
"81","0.305020","192.168.0.20","192.168.0.21","TCP","66","22  >  58210 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"82","0.307988","192.168.0.20","192.168.0.21","TCP","74","22  >  58228 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"83","0.308008","192.168.0.21","192.168.0.20","TCP","66","58228  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991757 TSecr=65614232"
"84","0.308022","192.168.0.20","192.168.0.21","TCP","74","22  >  58230 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"85","0.308033","192.168.0.21","192.168.0.20","TCP","66","58230  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991757 TSecr=65614232"
"86","0.308036","192.168.0.20","192.168.0.21","TCP","66","22  >  58218 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"87","0.308038","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"88","0.308042","192.168.0.20","192.168.0.21","TCP","66","22  >  58216 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"89","0.308046","192.168.0.20","192.168.0.21","TCP","66","22  >  58220 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"90","0.308050","192.168.0.20","192.168.0.21","TCP","66","22  >  58222 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"91","0.308053","192.168.0.20","192.168.0.21","TCP","66","22  >  58224 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991754"
"92","0.308056","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"93","0.308079","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"94","0.308105","192.168.0.20","192.168.0.21","TCP","74","22  >  58232 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"95","0.308118","192.168.0.21","192.168.0.20","TCP","66","58232  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991757 TSecr=65614232"
"96","0.308129","192.168.0.20","192.168.0.21","TCP","74","22  >  58234 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991754 WS=128"
"97","0.308138","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"98","0.308141","192.168.0.21","192.168.0.20","TCP","66","58234  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991757 TSecr=65614232"
"99","0.308177","192.168.0.20","192.168.0.21","TCP","66","22  >  58228 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991757"
"100","0.308177","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"101","0.308181","192.168.0.20","192.168.0.21","TCP","66","22  >  58230 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991757"
"102","0.308187","192.168.0.20","192.168.0.21","TCP","66","22  >  58226 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991757"
"103","0.308248","192.168.0.20","192.168.0.21","TCP","66","22  >  58232 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991757"
"104","0.308258","192.168.0.20","192.168.0.21","TCP","66","22  >  58234 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991757"
